,,,,,,,
,,,,,,,
Expected income from Fridays (15 shek per game),8910.0,,,,,Number of Fridays until the end of 2025,33
Expected income from Fridays (20 shek per game),11880.0,,,,,start,2025-05-12 00:00:00
    *18 players every Friday,,,,,,end,2025-12-31 00:00:00
,,,,,,,
Estimated recurrent expenses:,,,,,,,
equipment,500.0,,,,,,
,,,,,,,
Possible expenses:,,,,,,,
          trainer (once every two weeks),7425.0,,,,,,
          tournament prizes (once a month),4125.0,,,,,,
Total possible expenses:,11550.0,,,,,,
,,,,,,,
,,,,,,,
Approximate rent for an additional hall by the end of 2025:,,,,,,Number of Mondays until the end of 2025,31
For example: Khalisa 2 hours on Mondays for 12 people,12400.0,,,,,start,2025-06-01 00:00:00
Payment for the hall per person,33.33333333,,,,,end,2025-12-31 00:00:00
