Date,2025-05-09 00:00:00,2025-05-16 00:00:00,2025-05-23 00:00:00,2025-05-30 00:00:00,2025-06-06 00:00:00,2025-06-13 00:00:00,2025-06-20 00:00:00,2025-06-27 00:00:00,2025-07-04 00:00:00,2025-07-11 00:00:00,2025-07-18 00:00:00,2025-07-25 00:00:00,2025-08-01 00:00:00,2025-08-08 00:00:00,2025-08-15 00:00:00,2025-08-22 00:00:00,2025-08-29 00:00:00,2025-09-05 00:00:00,2025-09-12 00:00:00,2025-09-19 00:00:00,2025-09-26 00:00:00,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-17 00:00:00,2025-10-22 00:00:00,2025-10-24 00:00:00,2025-10-29 00:00:00,2025-10-31 00:00:00,2025-11-05 00:00:00,2025-11-07 00:00:00,2025-11-12 00:00:00,2025-11-14 00:00:00,2025-11-19 00:00:00,2025-11-21 00:00:00,2025-11-26 00:00:00,2025-11-28 00:00:00,2025-12-03 00:00:00,2025-12-05 00:00:00,2025-12-10 00:00:00,2025-12-12 00:00:00,2025-12-17 00:00:00,2025-12-19 00:00:00,2025-12-24 00:00:00,2025-12-26 00:00:00,2025-12-31,2026-01-02 00:00:00,2026-01-09 00:00:00,
Total income,270,60,285,270,270,270,0,270,270,270,270,270,255,225,270,270,225,240,270,270,270,270,270,270,240,270,240,270,240,270,240,270,240,270,240,270,240,480,240,270,240,270,240,270,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment costs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnament Prizes,,,,250,,,,,,,,,,,,,547,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,
Whistle and scoreboard,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treats for players,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,
Hall cost in Kiryat yam,,,,,,,,,,,,,,,,,,,,,,,,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,,,,
Total expenses,170,0,0,250,0,0,0,0,0,354,0,0,0,0,0,0,547,0,0,0,0,0,0,0,250,0,250,0,250,0,250,0,250,265,250,0,250,1100,250,0,250,0,250,0,,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance,100,160,445,465,735,1005,1005,1275,1545,1461,1731,2001,2256,2481,2751,3021,2699,2939,3209,3479,3749,4019,4289,4559,4549,4819,4809,5079,5069,5339,5329,5599,5589,5594,5584,5854,5844,5224,5214,5484,5474,5744,5734,6004,,6004,6004,6004.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-902,,,,,,,,,,
