Date,2025-01-02 00:00:00,2025-01-07 00:00:00,2025-01-09 00:00:00,2025-01-14 00:00:00,2025-01-16 00:00:00,2025-01-21 00:00:00,2025-01-23 00:00:00,2025-01-28 00:00:00,2025-01-30 00:00:00,2025-02-04 00:00:00,2025-02-06 00:00:00,2025-02-11 00:00:00,2025-02-13 00:00:00,2025-02-18 00:00:00,2025-02-20 00:00:00,2025-02-25 00:00:00,2025-02-27 00:00:00,2025-03-04 00:00:00,2025-03-06 00:00:00,2025-03-11 00:00:00,2025-03-13 00:00:00,2025-03-18 00:00:00,2025-03-20 00:00:00,2025-03-25 00:00:00,5.0
Total income,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment costs:,,,,,,,,,,,,,,,,,,,,,,,,,
Turnament Prizes,,,,,,,,,,,,,,,,,,,,,,,,,
Whistle and scoreboard,,,,,,,,,,,,,,,,,,,,,,,,,
Treats for players,,,,,,,,,,,,,,,,,,,,,,,,,
Hall cost in Kiryat yam,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004,6004.0
