Date,09/05,16/05,23/05,30/05,06/06,13/06,20/06,27/06,04/07,11/07,18/07,25/07,01/08,08/08,15/08,22/08,29/08,05/09,12/09,19/09,26/09,03/10,10/10,17/10,22/10,24/10,29/10,31/10,05/11,07/11,12/11,14/11,19/11,21/11,26/11,28/11,03/12,05/12,10/12,12/12,17/12,19/12,24/12,26/12,31/12,02/01,09/01,
Total income,270,60,285,270,270,270,0,270,270,270,270,270,255,225,270,270,225,240,270,270,270,270,270,270,240,270,240,270,240,270,240,270,240,270,240,270,240,480,240,270,240,270,240,270,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment costs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnament Prizes,,,,250,,,,,,,,,,,,,547,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,
Whistle and scoreboard,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treats for players,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,
Hall cost in Kiryat yam,,,,,,,,,,,,,,,,,,,,,,,,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,,,,
Total expenses,170,0,0,250,0,0,0,0,0,354,0,0,0,0,0,0,547,0,0,0,0,0,0,0,250,0,250,0,250,0,250,0,250,265,250,0,250,1100,250,0,250,0,250,0,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance,100,160,445,465,735,1005,1005,1275,1545,1461,1731,2001,2256,2481,2751,3021,2699,2939,3209,3479,3749,4019,4289,4559,4549,4819,4809,5079,5069,5339,5329,5599,5589,5594,5584,5854,5844,5224,5214,5484,5474,5744,5734,6004,,6004,6004,6004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-902,,,,,,,,,,
